,header,title,favorite,price,category,creator
64,사진/영상・김메주,순간을 기록하는 새로운 방법. 영상 제작의 A to Z ,5077,"월 41,900원",사진/영상,김메주
65,미술・라일라,"묵직하고 선명하게 전해지는 감동, 라일라의 유화 페인팅",5067,"월 63,500원",미술,라일라
66,디지털 드로잉・달콩,"색연필도 되고, 물감도 되는 아이패드 일러스트의 모든 것",5053,"월 51,780원",디지털 드로잉,달콩
67,공예・블뤼떼 BLUTE,"조향사에게 배우는 조향 기초, 나만의 향기를 만들어요.",5036,"월 59,900원",공예,블뤼떼 BLUTE
68,공예・고유,주얼리 디자이너에게 배우는 감각적인 실버주얼리 공예,4999,"월 79,416원",공예,고유
69,디지털 드로잉・반지수,"공간에 포근한 분위기를 불어넣어요, 반지수와 함께하는 아이패드 드로잉",4988,"월 43,900원",디지털 드로잉,반지수
70,미술・메리진,"사각사각, 소리마저 행복한 메리진의 마카드로잉",4972,"월 53,900원",미술,메리진
71,디지털 드로잉・이공,일러스트레이터 이공과 함께 나만의 미니 굿즈 제작하기,4956,"월 35,900원",디지털 드로잉,이공
72,미술・스놉,스놉의 단정한 손글씨로 마음을 담은 필사하기,4935,"월 43,900원",미술,스놉
73,부업/창업/재테크・온라인탑셀러,"무자본, 무재고로 중국 구매 대행 사업/부업 시작하기",4887,"월 43,058원",부업/창업/재테크,온라인탑셀러
74,디지털 드로잉・페사,사이툴로 그리는 일러스트레이터 페사의 따뜻한 캐릭터 드로잉,4838,"월 57,780원",디지털 드로잉,페사
75,라이프 스타일・김현경,"기획에서 편집 디자인, 유통까지, 독립출판!",4816,"월 36,900원",라이프 스타일,김현경
76,요리/음료・꽁블,"꽁블의 쿠킹클래스, 전세계의 가정식을 배워보자",4775,"월 49,900원",요리/음료,꽁블
77,공예・오키프,"소중한 나를 위해, 직접 만드는 특별한 천연 비누",4750,"월 59,900원",공예,오키프
78,미술・약국,"약국과 함께 펜 하나로 그리는 분위기 있는 인물, 나만의 세계",4717,"월 52,900원",미술,약국
79,공예・메종드윤(가능성발명가),"전통의 아름다움, 메종드윤과 함께 만드는 한복 장신구",4708,"월 63,900원",공예,메종드윤(가능성발명가)
80,디지털 드로잉・동글,"또 다른 나를 그리다, 동글의 아이패드 캐릭터 드로잉",4702,"월 51,780원",디지털 드로잉,동글
81,부업/창업/재테크・타임퍼센트,"AI 자동 투자 봇 만들기, 노트북 하나로 월급을 두 배 불리는 비법",4681,"월 66,446원",부업/창업/재테크,타임퍼센트
82,공예・스튜디오 랩딥,"퇴근 후 만나는 나의 가죽 공방, 가죽 공예 기초부터 완성까지!",4604,"월 64,760원",공예,스튜디오 랩딥
83,시그니처・유튜버,100만 구독자를 만드는 유튜브 채널의 비밀,4596,"월 22,900원",시그니처,유튜버
84,부업/창업/재테크・송사무장,월세 수익 300만 원을 만드는 송사무장의 부동산 투자법! ,4592,"월 27,740원",부업/창업/재테크,송사무장
85,디자인/개발・수목원,"생각을 구조화하고 디자인하다, 포스터를 만들면서 배우는 그래픽 디자인",4583,"월 39,900원",디자인/개발,수목원
86,디지털 드로잉・나무13,Back to the Retro!나무13과 함께 레트로아이패드드로잉,4509,"월 49,880원",디지털 드로잉,나무13
87,디지털 드로잉・다야(daya),"꿈꾸던 동화 속 세상, 아이패드로 그려내기",4466,"월 44,480원",디지털 드로잉,다야(daya)
88,사진/영상・빨간토마토,60만 유튜버가 알려주는 가장 쉬운 유튜브 입문기!,4450,"월 33,920원",사진/영상,빨간토마토
89,요리/음료・송셰프,혼자서도 잘해요! 송송송 송셰프와 함께하는 혼밥 요리교실,4412,"월 39,900원",요리/음료,송셰프
90,요리/음료・Nana,"테이블 가득 채워내는 홈베이킹, 나나와 함께 달달함을 나누는 디저트",4418,"월 48,900원",요리/음료,Nana
91,디지털 드로잉・규멩,"캐릭터를 살아 숨쉬게 하기, 프로 애니메이션 감독의 스토리 비주얼 라이징",4403,"월 56,700원",디지털 드로잉,규멩
92,디지털 드로잉・광팔,광팔의 아이패드로 귀염통통 카카O톡 이모티콘 만들기,4404,"월 32,780원",디지털 드로잉,광팔
93,디지털 드로잉・김이영,💣글씨 쓰는 김이영과 함께 아이패드에 그려낸 캘리그라피,4401,"월 37,780원",디지털 드로잉,김이영
94,미술・sketch_forum ,"건축가에게 배우는 남다른 공간감, 어반스케치 펜드로잉 입문",4374,"월 45,404원",미술,sketch_forum 
95,공예・메리메이드,"종이로 피워낸 낭만, 메리메이드와 함께하는 페이퍼 플라워",4364,"월 54,900원",공예,메리메이드
96,미술・hyunpeach_,현피치와 함께 선명하게 그리는 색연필 인물화 클래스,4347,"월 45,900원",미술,hyunpeach_
